scene_id,category_band,funnel_stage,released,released_valid,handover_status_raw,degenerate_plane
scene_202,dense,released,True,True,success|ACCEPT,False
scene_203,dense,rejected,False,,success|REJECT,False
scene_204,dense,released,True,False,success|ACCEPT,False
scene_205,dense,released,True,False,success|ACCEPT,False
scene_206,dense,released,True,True,success|ACCEPT,False
scene_207,dense,released,True,True,success|ACCEPT,False
scene_208,dense,released,True,True,success|ACCEPT,False
scene_209,dense,rejected,False,,success|REJECT,False
scene_210,dense,released,True,False,success|ACCEPT,False
scene_211,dense,released,True,False,success|ACCEPT,False
scene_212,dense,released,True,True,success|ACCEPT,False
scene_213,dense,released,True,False,success|ACCEPT,False
scene_214,dense,released,True,True,success|ACCEPT,False
scene_215,dense,released,True,True,success|ACCEPT,False
scene_216,dense,rejected,False,,success|REJECT,False
scene_217,dense,rejected,False,,success|REJECT,False
scene_218,dense,released,True,False,success|ACCEPT,False
scene_219,dense,released,True,True,success|ACCEPT,False
scene_220,dense,released,True,True,success|ACCEPT,False
scene_221,dense,released,True,False,success|ACCEPT,False
scene_222,dense,released,True,True,success|ACCEPT,False
scene_223,dense,released,True,False,success|ACCEPT,False
scene_224,dense,released,True,True,success|ACCEPT,False
scene_225,dense,released,True,True,success|ACCEPT,False
scene_226,dense,released,True,True,success|ACCEPT,False
scene_227,dense,rejected,False,,success|REJECT,False
scene_228,dense,released,True,False,success|ACCEPT,True
scene_229,dense,released,True,False,success|ACCEPT,False
scene_230,dense,no_candidates,,,no_target|empty_candidates,True
scene_231,dense,released,True,False,success|ACCEPT,False
scene_232,dense,rejected,False,,success|REJECT,True
scene_233,dense,rejected,False,,no_grasp,False
scene_234,dense,released,True,False,success|ACCEPT,False
scene_235,dense,released,True,False,success|ACCEPT,False
scene_236,dense,rejected,False,,success|REJECT,True
scene_237,dense,released,True,False,success|ACCEPT,False
scene_238,dense,no_candidates,,,no_target|empty_candidates,False
scene_239,dense,rejected,False,,success|REJECT,True
scene_240,dense,released,True,False,success|ACCEPT,False
scene_241,dense,released,True,True,success|ACCEPT,False
scene_242,dense,rejected,False,,success|REJECT,False
scene_243,dense,released,True,True,success|ACCEPT,False
scene_244,dense,rejected,False,,success|REJECT,False
scene_245,dense,released,True,False,success|ACCEPT,False
scene_246,dense,released,True,False,success|ACCEPT,False
scene_247,dense,released,True,False,success|ACCEPT,False
scene_248,dense,released,True,False,success|ACCEPT,False
scene_249,dense,rejected,False,,success|REJECT,True
scene_250,dense,released,True,False,success|ACCEPT,False
scene_251,dense,released,True,False,success|ACCEPT,False
scene_252,dense,released,True,False,success|ACCEPT,False
scene_253,dense,released,True,True,success|ACCEPT,False
scene_254,dense,released,True,False,success|ACCEPT,False
scene_255,dense,released,True,False,success|ACCEPT,False
scene_256,dense,released,True,True,success|ACCEPT,False
scene_257,dense,released,True,False,success|ACCEPT,False
scene_258,dense,released,True,True,success|ACCEPT,False
scene_259,dense,released,True,False,success|ACCEPT,False
scene_260,dense,rejected,False,,success|REJECT,False
scene_261,dense,rejected,False,,success|REJECT,False
scene_262,dense,rejected,False,,success|REJECT,False
scene_263,dense,released,True,True,success|ACCEPT,False
scene_264,dense,released,True,True,success|ACCEPT,False
scene_265,dense,rejected,False,,success|REJECT,False
scene_266,dense,rejected,False,,success|REJECT,False
scene_267,dense,released,True,True,success|ACCEPT,False
scene_268,dense,rejected,False,,success|REJECT,False
scene_269,dense,released,True,True,success|ACCEPT,False
scene_270,dense,released,True,True,success|ACCEPT,True
scene_271,dense,released,True,False,success|ACCEPT,False
scene_272,dense,rejected,False,,success|REJECT,False
scene_273,dense,released,True,True,success|ACCEPT,False
scene_274,dense,rejected,False,,success|REJECT,False
scene_275,dense,released,True,True,success|ACCEPT,False
scene_276,dense,rejected,False,,success|REJECT,False
scene_277,dense,rejected,False,,success|REJECT,False
scene_278,dense,released,True,False,success|ACCEPT,False
scene_279,dense,released,True,True,success|ACCEPT,False
scene_280,dense,rejected,False,,success|REJECT,False
scene_281,dense,rejected,False,,success|REJECT,False
scene_282,dense,released,True,True,success|ACCEPT,False
scene_283,dense,rejected,False,,success|REJECT,False
scene_284,dense,no_candidates,,,no_target|empty_candidates,False
scene_285,dense,released,True,True,success|ACCEPT,False
scene_286,dense,released,True,True,success|ACCEPT,False
scene_287,dense,rejected,False,,success|REJECT,False
scene_288,dense,released,True,False,success|ACCEPT,False
scene_289,dense,released,True,False,success|ACCEPT,False
scene_290,dense,released,True,False,success|ACCEPT,False
scene_291,dense,released,True,False,success|ACCEPT,False
scene_292,dense,rejected,False,,success|REJECT,False
scene_293,dense,released,True,True,success|ACCEPT,False
scene_294,dense,released,True,False,success|ACCEPT,False
scene_295,dense,released,True,True,success|ACCEPT,False
scene_296,dense,released,True,True,success|ACCEPT,False
scene_297,dense,released,True,True,success|ACCEPT,False
scene_298,dense,released,True,False,success|ACCEPT,False
scene_299,dense,released,True,True,success|ACCEPT,False
scene_300,dense,rejected,False,,success|REJECT,False
scene_301,dense,rejected,False,,success|REJECT,False
scene_302,dense,rejected,False,,success|REJECT,False
