check_param,tau,tau_rel,far,frr,accept_rate,accept_precision,n_rejects_by_check
bbox_inlier.inlier_min,0.668740304976422,0.8359253812205275,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,5
bbox_inlier.inlier_min,0.7647244913317299,0.9559056141646624,0.44802867383512546,0.20771513353115728,0.6363636363636364,0.6811224489795918,20
bbox_inlier.inlier_min,0.8,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,32
bbox_inlier.inlier_min,0.8744852722211677,1.0931065902764596,0.4157706093189964,0.2433234421364985,0.6022727272727273,0.6873315363881402,76
bbox_inlier.inlier_min,1.0,1.25,0.0967741935483871,0.8783382789317508,0.11038961038961038,0.6029411764705882,469
bbox_surface_dist.surface_dist_median_max_m,0.005,0.25,0.3906810035842294,0.24925816023738873,0.5876623376623377,0.6988950276243094,86
bbox_surface_dist.surface_dist_median_max_m,0.006299605249474363,0.31498026247371813,0.4014336917562724,0.24629080118694363,0.5941558441558441,0.6939890710382514,71
bbox_surface_dist.surface_dist_median_max_m,0.007937005259841,0.39685026299205,0.4121863799283154,0.23738872403560832,0.6038961038961039,0.6908602150537635,52
bbox_surface_dist.surface_dist_median_max_m,0.01,0.5,0.4265232974910394,0.22551928783382788,0.6168831168831169,0.6868421052631579,24
bbox_surface_dist.surface_dist_median_max_m,0.012599210498948727,0.6299605249474364,0.44086021505376344,0.21364985163204747,0.6298701298701299,0.6829896907216495,9
bbox_surface_dist.surface_dist_median_max_m,0.015874010519681993,0.7937005259840996,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.02,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.020000000000000004,1.0000000000000002,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.025198420997897458,1.259921049894873,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.03174802103936397,1.5874010519681985,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.03999999999999999,1.9999999999999993,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.05039684199579492,2.519842099789746,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.06349604207872796,3.174802103936398,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_surface_dist.surface_dist_median_max_m,0.08,4.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
bbox_top_normal.top_normal_angle_max_deg,3.0,0.25,0.3978494623655914,0.24629080118694363,0.5925324675324676,0.6958904109589041,62
bbox_top_normal.top_normal_angle_max_deg,3.77976314968462,0.3149802624737183,0.4050179211469534,0.23738872403560832,0.6006493506493507,0.6945945945945946,50
bbox_top_normal.top_normal_angle_max_deg,4.762203155904599,0.3968502629920499,0.4229390681003584,0.2314540059347181,0.612012987012987,0.6870026525198939,38
bbox_top_normal.top_normal_angle_max_deg,6.0,0.5,0.43010752688172044,0.22255192878338279,0.6201298701298701,0.6858638743455497,24
bbox_top_normal.top_normal_angle_max_deg,7.559526299369239,0.6299605249474366,0.4336917562724014,0.2166172106824926,0.625,0.6857142857142857,15
bbox_top_normal.top_normal_angle_max_deg,9.524406311809196,0.7937005259840997,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,5
bbox_top_normal.top_normal_angle_max_deg,12.0,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,2
bbox_top_normal.top_normal_angle_max_deg,12.000000000000002,1.0000000000000002,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,2
bbox_top_normal.top_normal_angle_max_deg,15.119052598738476,1.259921049894873,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,2
bbox_top_normal.top_normal_angle_max_deg,19.048812623618396,1.5874010519681996,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,1
