scene_id,category_band,gt_class,theta_deg,within_12deg,within_30deg,status
scene_229,dense,Amazon_Book_Package,9.60153719652216e-05,True,True,evaluated
scene_230,dense,,,,,no_target
scene_231,dense,Amazon_A2_Package,0.5745523307283076,True,True,evaluated
scene_232,dense,Amazon_A2_Package,1.6996637735599258e-05,True,True,evaluated
scene_233,dense,,,,,target_unmatched
scene_234,dense,Amazon_A2_Package,0.5008912262955919,True,True,evaluated
scene_235,dense,Amazon_Book_Package,4.5204207837285986e-05,True,True,evaluated
scene_236,dense,Amazon_Book_Package,1.945942025965721e-05,True,True,evaluated
scene_237,dense,Paper_Shopping_Bag,15.400370360981713,False,True,evaluated
scene_238,dense,,,,,no_target
scene_239,dense,Paper_Shopping_Bag,7.705716394442144,True,True,evaluated
scene_240,dense,Amazon_Book_Package,4.802418888917448e-05,True,True,evaluated
scene_241,dense,Black Package,5.025498440140057e-05,True,True,evaluated
scene_242,dense,Small_Shipping_Bag,1.1890530674717858e-05,True,True,evaluated
scene_243,dense,Carton Magdeleine,3.730117707461575e-05,True,True,evaluated
scene_244,dense,Amazon_Book_Package,3.212959598949994e-05,True,True,evaluated
scene_245,dense,,,,,target_unmatched
scene_246,dense,Amazon_Book_Package,5.6431542436064716e-05,True,True,evaluated
scene_247,dense,Amazon_Book_Package,3.8701181720923846e-05,True,True,evaluated
scene_248,dense,Amazon_A2_Package,0.5874928218272722,True,True,evaluated
scene_249,dense,Vintage_Envelope,7.706098174926608e-05,True,True,evaluated
scene_250,dense,Vintage_Envelope,5.742733293271531e-05,True,True,evaluated
scene_251,dense,Amazon_Book_Package,3.746594443211764e-05,True,True,evaluated
scene_252,dense,Amazon_Book_Package,2.851313986812154e-05,True,True,evaluated
scene_253,dense,Colis VistaPrint,4.277858102926189e-05,True,True,evaluated
scene_254,dense,Amazon_A2_Package,0.5850773671449705,True,True,evaluated
scene_255,dense,Amazon_A2_Package,0.5784674651050408,True,True,evaluated
scene_256,dense,SM_Little_Package,3.1914570139623786,True,True,evaluated
scene_257,dense,Amazon_A2_Package,0.6166487322729209,True,True,evaluated
scene_258,dense,Paper_Shopping_Bag,13.294282221392656,False,True,evaluated
scene_259,dense,Amazon_A2_Package,0.4939516641838288,True,True,evaluated
scene_260,dense,Small Packet,3.6153844798262714e-05,True,True,evaluated
scene_261,dense,POP_Drinks_Pack,0.19131176660164254,True,True,evaluated
scene_262,dense,Amazon_Book_Package,3.66153404756924e-05,True,True,evaluated
scene_263,dense,Storage_Box_with_Lid,4.2068845970732564e-05,True,True,evaluated
scene_264,dense,Black Package,0.00013233349401963956,True,True,evaluated
scene_265,dense,Amazon_A2_Package,0.5438066491428968,True,True,evaluated
scene_266,dense,Space_Food_Bag,2.302197958143297,True,True,evaluated
scene_267,dense,Carton Magdeleine,5.6206121008961705e-05,True,True,evaluated
scene_268,dense,,,,,target_unmatched
scene_269,dense,Ikea Cardboard Package,7.003247063083206e-05,True,True,evaluated
scene_270,dense,Small Packet,0.00010879602536984108,True,True,evaluated
scene_271,dense,Vintage_Envelope,5.755472628047028e-05,True,True,evaluated
